
========================================
Start Time             : 2026-07-15T00:35:25.243569
========================================
49 | findNthCatalan | branch | 100.00% | 7.96ms | 120.17MB | 1 cases
3 | change | branch | 75.00% | 3.50ms | 138.21MB | 1 cases
4 | minimumCoins | branch | 90.00% | 11.24ms | 100.10MB | 1 cases
27 | convolution | branch | 100.00% | 22.08ms | 202.98MB | 1 cases
19 | correlation | branch | 75.00% | 5.46ms | 153.92MB | 1 cases
21 | countFriendsPairing | branch | 83.33% | 3.20ms | 116.42MB | 2 cases
15 | countNiceSubarrays | branch | 41.67% | 7.99ms | 219.16MB | 1 cases
9 | crossCorrelation | branch | 100.00% | 48.53ms | 201.61MB | 1 cases
78 | findMax | branch | 100.00% | 3.90ms | 171.07MB | 3 cases
91 | max | branch | 100.00% | 2.11ms | 272.36MB | 3 cases
87 | findMin | branch | 100.00% | 3.68ms | 197.58MB | 3 cases
67 | min | branch | 100.00% | 2.60ms | 123.78MB | 3 cases
93 | maxSum | branch | 100.00% | 5.02ms | 225.35MB | 2 cases
56 | find | branch | 83.33% | 4.05ms | 155.31MB | 4 cases
38 | compute | branch | 100.00% | 6.11ms | 261.34MB | 6 cases
33 | getLongestArithmeticSubsequenceLength | branch | 100.00% | 18.02ms | 196.73MB | 3 cases
6 | lowerBound | branch | 100.00% | 2.50ms | 132.78MB | 2 cases
76 | longestSubarrayWithSumLEK | branch | 100.00% | 8.94ms | 233.62MB | 1 cases
23 | maxProduct | branch | 100.00% | 6.82ms | 169.31MB | 3 cases
44 | getMaxSumApproach1 | branch | 100.00% | 4.90ms | 272.25MB | 2 cases
45 | getMaxSumApproach2 | branch | 100.00% | 6.13ms | 206.07MB | 2 cases
52 | maxSumKSizeSubarray | branch | 100.00% | 3.18ms | 168.64MB | 2 cases
71 | minimumWaitingTime | branch | 100.00% | 3.72ms | 254.40MB | 2 cases
13 | minSumKSizeSubarray | branch | 100.00% | 3.64ms | 206.53MB | 2 cases
54 | nthManShanksPrime | branch | 100.00% | 3.38ms | 167.69MB | 1 cases
35 | buildPrefixSum | branch | 100.00% | 2.85ms | 268.52MB | 2 cases
36 | sumRange | branch | 100.00% | 1.86ms | 229.59MB | 3 cases
25 | cutRod | branch | 100.00% | 12.06ms | 225.11MB | 3 cases
29 | stdDev | branch | 100.00% | 3.75ms | 168.68MB | 1 cases
82 | subsetSum | branch | 83.33% | 6.73ms | 269.57MB | 2 cases
69 | isSubsetSum | branch | 75.00% | 317.60ms | 235.33MB | 4 cases
31 | subsetSum | branch | 83.33% | 2.98ms | 219.99MB | 4 cases
42 | isPairedSum | branch | 100.00% | 6.43ms | 200.12MB | 4 cases
58 | wpRecursion | branch | 100.00% | 1.60ms | 183.90MB | 2 cases
59 | wptd | branch | 0.00% | 0.00ms | 290.50MB | 0 cases
60 | wpbu | branch | 100.00% | 22.36ms | 191.13MB | 2 cases
61 | isPalindrome | branch | 100.00% | 3.05ms | 174.61MB | 3 cases
84 | bubbleSort | branch | 100.00% | 5.33ms | 280.11MB | 3 cases
80 | binarySearch | branch | 100.00% | 4.60ms | 258.20MB | 4 cases
47 | search | branch | 100.00% | 2.22ms | 239.99MB | 3 cases
11 | sort | branch | 75.00% | 6.39ms | 199.31MB | 2 cases
89 | selectionSort | branch | 100.00% | 29.30ms | 166.31MB | 2 cases

========================================
Start Time             : 2026-07-15T03:10:57.449156
========================================
49 | findNthCatalan | statement | 100.00% | 8.31ms | 119.30MB | 1 cases
3 | change | statement | 100.00% | 4.46ms | 138.44MB | 1 cases
4 | minimumCoins | statement | 100.00% | 13.96ms | 137.82MB | 1 cases
27 | convolution | statement | 100.00% | 22.70ms | 133.28MB | 1 cases
19 | correlation | statement | 95.83% | 4.35ms | 89.77MB | 1 cases
21 | countFriendsPairing | statement | 83.33% | 2.08ms | 192.97MB | 1 cases
15 | countNiceSubarrays | statement | 52.17% | 3.70ms | 214.20MB | 1 cases
9 | crossCorrelation | statement | 100.00% | 29.26ms | 207.64MB | 1 cases
78 | findMax | statement | 90.00% | 4.07ms | 162.70MB | 3 cases
91 | max | statement | 100.00% | 2.55ms | 131.55MB | 3 cases
87 | findMin | statement | 88.89% | 3.42ms | 103.39MB | 3 cases
67 | min | statement | 100.00% | 2.25ms | 205.29MB | 3 cases
93 | maxSum | statement | 90.91% | 4.80ms | 177.86MB | 2 cases
56 | find | statement | 70.00% | 3.13ms | 160.94MB | 4 cases
38 | compute | statement | 100.00% | 5.56ms | 197.39MB | 6 cases
33 | getLongestArithmeticSubsequenceLength | statement | 100.00% | 16.06ms | 188.73MB | 3 cases
6 | lowerBound | statement | 100.00% | 2.42ms | 182.97MB | 2 cases
76 | longestSubarrayWithSumLEK | statement | 100.00% | 4.67ms | 177.93MB | 1 cases
23 | maxProduct | statement | 75.00% | 6.34ms | 194.92MB | 2 cases
44 | getMaxSumApproach1 | statement | 100.00% | 5.04ms | 217.08MB | 2 cases
45 | getMaxSumApproach2 | statement | 100.00% | 10.05ms | 227.98MB | 2 cases
52 | maxSumKSizeSubarray | statement | 100.00% | 3.30ms | 146.08MB | 2 cases
71 | minimumWaitingTime | statement | 100.00% | 3.55ms | 212.58MB | 2 cases
13 | minSumKSizeSubarray | statement | 100.00% | 3.33ms | 206.80MB | 2 cases
54 | nthManShanksPrime | statement | 100.00% | 1.92ms | 200.57MB | 1 cases
35 | buildPrefixSum | statement | 100.00% | 2.84ms | 197.03MB | 2 cases
36 | sumRange | statement | 100.00% | 1.87ms | 200.59MB | 3 cases
25 | cutRod | statement | 100.00% | 10.18ms | 206.78MB | 3 cases
29 | stdDev | statement | 100.00% | 3.76ms | 215.95MB | 1 cases
82 | subsetSum | statement | 92.31% | 5.34ms | 164.84MB | 1 cases
69 | isSubsetSum | statement | 83.33% | 3.93ms | 140.74MB | 1 cases
